trajectory_id,algorithm,data_source,calculation_time_s,execution_time_s,at_threshold_time_s,trajectory_waypoints,simulation_steps,planned_distance_m,executed_distance_m,max_tracking_error_m,avg_tracking_error_m,efficiency_ratio,relative_pos_gain,relative_rot_gain,ik_velocity_mode,ik_velocity_error_gain,ik_use_rotational_velocity,timestamp,speed_mps,dt,update_frequency,grid_resolution,safety_margin,use_3d,final_target_tolerance,orientation_tolerance,ik_method,ik_command_type,ik_use_relative_mode,wall_size_x,wall_size_y,wall_size_z,wall_pos_x,wall_pos_y,wall_pos_z,wall_rot_w,wall_rot_x,wall_rot_y,wall_rot_z
1,astar,real,21.49154305458069,32.43019652366638,24.590166330337524,3244,3244,0.4494718313217163,2.0613004056307958,0.025347694754600525,0.010135957141738136,4.58605025273628,1.0,1.0,True,200.0,True,2026-01-31T17:10:23,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
2,astar,real,13.786921739578247,28.970237255096436,23.13016390800476,2898,2898,0.4592474400997162,1.7128731491436398,0.023135574534535408,0.010625017358580176,3.7297391331603817,1.0,1.0,True,200.0,True,2026-01-31T17:11:16,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
3,astar,real,21.10069513320923,47.12023878097534,22.870182514190674,4713,4713,0.4530775845050812,2.7976512013529913,0.02273191697895527,0.009365034362920927,6.174772924175895,1.0,1.0,True,200.0,True,2026-01-31T17:12:34,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
4,astar,real,13.805971384048462,28.780227661132812,23.52018404006958,2879,2879,0.4592474400997162,1.4849549231386057,0.028737934306263924,0.010611580369258756,3.2334528044754656,1.0,1.0,True,200.0,True,2026-01-31T17:13:27,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
5,astar,real,25.12800645828247,35.9716739654541,26.560170888900757,3598,3598,0.4713357090950012,1.8467266327665293,0.023300057277083397,0.010217073983140083,3.918070702328874,1.0,1.0,True,200.0,True,2026-01-31T17:14:39,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
6,astar,real,13.756097793579102,28.810227394104004,23.81015968322754,2882,2882,0.4592474400997162,1.6584763310866535,0.0274956114590168,0.010437494283445092,3.611291400397462,1.0,1.0,True,200.0,True,2026-01-31T17:15:32,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
7,astar,real,25.300834894180298,38.68023872375488,23.96016216278076,3869,3869,0.47124984860420227,2.341964868214596,0.02004576474428177,0.01005989746043772,4.969688319585196,1.0,1.0,True,200.0,True,2026-01-31T17:16:46,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
8,astar,real,13.877511978149414,29.000214099884033,23.100148916244507,2901,2901,0.4592474400997162,1.604627752418521,0.029887808486819267,0.010587741430183973,3.4940374454131065,1.0,1.0,True,200.0,True,2026-01-31T17:17:39,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
9,astar,real,22.492820978164673,28.2902729511261,23.210164308547974,2830,2830,0.4593885838985443,1.5781021364490613,0.019836656749248505,0.009856522958824417,3.4352227977819845,1.0,1.0,True,200.0,True,2026-01-31T17:18:40,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
10,astar,real,13.933986902236938,28.88024878501892,23.13016366958618,2889,2889,0.4592474400997162,1.4658029181375731,0.028733380138874054,0.010541952431645836,3.191749784863916,1.0,1.0,True,200.0,True,2026-01-31T17:19:33,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
11,astar,real,22.97715973854065,63.94121694564819,23.32030940055847,6395,6395,0.45943304896354675,3.3362459815758188,0.0221498291939497,0.008755391524675754,7.261658666267454,1.0,1.0,True,200.0,True,2026-01-31T17:21:10,0.02,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
