trajectory_id,algorithm,data_source,calculation_time_s,execution_time_s,at_threshold_time_s,trajectory_waypoints,simulation_steps,planned_distance_m,executed_distance_m,max_tracking_error_m,avg_tracking_error_m,efficiency_ratio,relative_pos_gain,relative_rot_gain,ik_velocity_mode,ik_velocity_error_gain,ik_use_rotational_velocity,timestamp,speed_mps,dt,update_frequency,grid_resolution,safety_margin,use_3d,final_target_tolerance,orientation_tolerance,ik_method,ik_command_type,ik_use_relative_mode,wall_size_x,wall_size_y,wall_size_z,wall_pos_x,wall_pos_y,wall_pos_z,wall_rot_w,wall_rot_x,wall_rot_y,wall_rot_z
1,astarplane,real,0.6300265789031982,21.160202741622925,16.160152673721313,2117,2117,0.484589159488678,1.223797288992614,0.021242797374725342,0.010938524202248773,2.525432657808366,1.0,1.0,True,200.0,True,2026-02-02T15:08:25,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
2,astarplane,real,0.36133337020874023,21.860251426696777,16.86015033721924,2187,2187,0.5056169033050537,1.1003748835891694,0.04000099375844002,0.011760143308296556,2.176301615702275,1.0,1.0,True,200.0,True,2026-02-02T15:08:58,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
3,astarplane,real,0.5847146511077881,21.99023151397705,16.750160217285156,2200,2200,0.4948993921279907,1.1814470179955272,0.021270960569381714,0.010344154313471254,2.387246856205436,1.0,1.0,True,200.0,True,2026-02-02T15:09:31,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
4,astarplane,real,0.37561464309692383,22.780234813690186,16.67016053199768,2279,2279,0.4954184889793396,1.221322930789853,0.032970622181892395,0.01277111765318446,2.465234862966097,1.0,1.0,True,200.0,True,2026-02-02T15:10:04,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
5,astarplane,real,0.6245594024658203,21.200220823287964,16.200134754180908,2121,2121,0.48596909642219543,1.18801752895126,0.02152407541871071,0.01017516104654637,2.4446359608001615,1.0,1.0,True,200.0,True,2026-02-02T15:10:36,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
6,astarplane,real,0.3700385093688965,22.480205297470093,17.47015619277954,2249,2249,0.49526843428611755,1.105629785732198,0.03982038423418999,0.012431498232359508,2.2323849233918134,1.0,1.0,True,200.0,True,2026-02-02T15:11:09,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
7,astarplane,real,0.5749025344848633,21.38022804260254,16.380139112472534,2139,2139,0.49125367403030396,1.104094078426419,0.01932614855468273,0.010364072446823695,2.2475029435776004,1.0,1.0,True,200.0,True,2026-02-02T15:11:41,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
8,astarplane,real,0.45595812797546387,21.410978317260742,16.400378227233887,2142,2142,0.49176421761512756,1.157293070404119,0.04138076677918434,0.012422674946366513,2.353349489347878,1.0,1.0,True,200.0,True,2026-02-02T15:12:13,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
9,astarplane,real,0.6297483444213867,22.840224027633667,16.770185947418213,2285,2285,0.4938076138496399,1.1789024622401527,0.02027127332985401,0.01068716602791223,2.387371982885461,1.0,1.0,True,200.0,True,2026-02-02T15:12:47,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
10,astarplane,real,0.45552802085876465,21.41030478477478,16.410138607025146,2142,2142,0.49225202202796936,1.1235364479767682,0.03924320265650749,0.012159250002135032,2.2824415090222416,1.0,1.0,True,200.0,True,2026-02-02T15:13:19,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
11,astarplane,real,0.5745470523834229,21.40023159980774,16.400126457214355,2141,2141,0.49176880717277527,1.1832742778158263,0.019828105345368385,0.010012895118646125,2.4061596843008006,1.0,1.0,True,200.0,True,2026-02-02T15:13:51,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
12,astarplane,real,0.37322211265563965,24.060333728790283,16.52019166946411,2407,2407,0.4953337609767914,1.2408098686382516,0.04008891433477402,0.011544549404210123,2.5049975721246853,1.0,1.0,True,200.0,True,2026-02-02T15:14:26,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
