trajectory_id,algorithm,data_source,calculation_time_s,execution_time_s,at_threshold_time_s,trajectory_waypoints,simulation_steps,planned_distance_m,executed_distance_m,max_tracking_error_m,avg_tracking_error_m,efficiency_ratio,relative_pos_gain,relative_rot_gain,ik_velocity_mode,ik_velocity_error_gain,ik_use_rotational_velocity,timestamp,speed_mps,dt,update_frequency,grid_resolution,safety_margin,use_3d,final_target_tolerance,orientation_tolerance,ik_method,ik_command_type,ik_use_relative_mode,wall_size_x,wall_size_y,wall_size_z,wall_pos_x,wall_pos_y,wall_pos_z,wall_rot_w,wall_rot_x,wall_rot_y,wall_rot_z
1,prm,real,6.913946151733398,22.98022198677063,17.97015118598938,2299,2299,0.5363225340843201,1.3588577759108764,0.04864012449979782,0.012981440605297555,2.5336578076677236,1.0,1.0,True,200.0,True,2026-02-02T16:24:58,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
2,prm,real,7.016997337341309,21.780225038528442,16.7701678276062,2179,2179,0.4972233176231384,1.215804734643406,0.03585587441921234,0.012133822560162053,2.4451884928793777,1.0,1.0,True,200.0,True,2026-02-02T16:25:37,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
3,prm,real,7.266617774963379,47.17019963264465,17.40015721321106,4718,4718,0.5158087015151978,2.332067442669894,0.03154243528842926,0.01028310417131467,4.521186703169997,1.0,1.0,True,200.0,True,2026-02-02T16:26:42,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
4,prm,real,7.028871059417725,23.830241441726685,16.94015097618103,2384,2384,0.5081189870834351,1.194486757443384,0.035880960524082184,0.012077857118104615,2.350801264679457,1.0,1.0,True,200.0,True,2026-02-02T16:27:23,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
5,prm,real,7.019178628921509,22.760233402252197,17.760148286819458,2277,2277,0.5231528282165527,1.3114250250724613,0.019333630800247192,0.00930803531652409,2.5067723126780326,1.0,1.0,True,200.0,True,2026-02-02T16:28:03,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
6,prm,real,6.906954288482666,21.010227918624878,16.010151147842407,2102,2102,0.47498267889022827,1.1655999277711047,0.03738415613770485,0.01224416290703615,2.4539840705233016,1.0,1.0,True,200.0,True,2026-02-02T16:28:41,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
7,prm,real,6.999074459075928,22.06022024154663,17.060138702392578,2207,2207,0.5086864829063416,1.2615218589790107,0.03899166360497475,0.011350678842819427,2.47995946692234,1.0,1.0,True,200.0,True,2026-02-02T16:29:20,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
8,prm,real,6.955486297607422,22.220216512680054,17.2201509475708,2223,2223,0.47293534874916077,1.1889978091053344,0.03973279520869255,0.012555576981561869,2.514081073131974,1.0,1.0,True,200.0,True,2026-02-02T16:29:59,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
9,prm,real,6.963618993759155,31.14018964767456,22.37015986442566,3115,3115,0.5782361030578613,1.6214865855338392,0.04712153598666191,0.011988707277834128,2.8041946481013564,1.0,1.0,True,200.0,True,2026-02-02T16:30:48,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
10,prm,real,6.873244285583496,22.800281286239624,17.8001766204834,2281,2281,0.5306655168533325,1.283487132049638,0.04081544280052185,0.0132928300853688,2.4186367707860192,1.0,1.0,True,200.0,True,2026-02-02T16:31:28,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
11,prm,real,6.880294561386108,36.93022918701172,18.220163106918335,3694,3694,0.4430078864097595,4.1234070015394995,0.06419709324836731,0.022259878818324905,9.307750782850759,1.0,1.0,True,200.0,True,2026-02-02T16:32:22,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
