trajectory_id,algorithm,data_source,calculation_time_s,execution_time_s,at_threshold_time_s,trajectory_waypoints,simulation_steps,planned_distance_m,executed_distance_m,max_tracking_error_m,avg_tracking_error_m,efficiency_ratio,relative_pos_gain,relative_rot_gain,ik_velocity_mode,ik_velocity_error_gain,ik_use_rotational_velocity,timestamp,speed_mps,dt,update_frequency,grid_resolution,safety_margin,use_3d,final_target_tolerance,orientation_tolerance,ik_method,ik_command_type,ik_use_relative_mode,wall_size_x,wall_size_y,wall_size_z,wall_pos_x,wall_pos_y,wall_pos_z,wall_rot_w,wall_rot_x,wall_rot_y,wall_rot_z
1,prmplane,real,5.850527286529541,34.87022638320923,9.700159549713135,3488,3488,0.45869654417037964,2.409114031256779,0.025101875886321068,0.011433001780176777,5.252086726779286,1.0,1.0,True,200.0,True,2026-01-31T19:27:26,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
2,prmplane,real,5.697802543640137,14.74023985862732,9.74016809463501,1475,1475,0.45249876379966736,1.2336330276948537,0.05033903568983078,0.015995377644608427,2.726268282670965,1.0,1.0,True,200.0,True,2026-01-31T19:27:57,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
3,prmplane,real,5.727363348007202,35.91026711463928,8.880176544189453,3592,3592,0.4308812618255615,2.0968412341652183,0.024188579991459846,0.010908249163954165,4.866401535497976,1.0,1.0,True,200.0,True,2026-01-31T19:28:49,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
4,prmplane,real,5.759979486465454,15.000877141952515,10.000221252441406,1501,1501,0.45497816801071167,1.2073605559709293,0.04381728917360306,0.015100357423529965,2.653667012748849,1.0,1.0,True,200.0,True,2026-01-31T19:29:20,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
5,prmplane,real,5.815123558044434,14.271877527236938,9.2701997756958,1428,1428,0.4460618793964386,1.0457935031447292,0.025923559442162514,0.012609085628335006,2.344503198883036,1.0,1.0,True,200.0,True,2026-01-31T19:29:50,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
6,prmplane,real,5.748520612716675,14.170239210128784,9.170158624649048,1418,1418,0.44637331366539,1.0818843925606707,0.046121735125780106,0.015095350083061567,2.423721041199322,1.0,1.0,True,200.0,True,2026-01-31T19:30:20,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
7,prmplane,real,5.796829700469971,33.290250062942505,9.200150489807129,3330,3330,0.4411763846874237,1.9032198727528922,0.029156271368265152,0.01145371080903398,4.313965884872409,1.0,1.0,True,200.0,True,2026-01-31T19:31:10,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
8,prmplane,real,5.74808406829834,17.880229711532593,8.980163812637329,1789,1789,0.43597039580345154,1.4621597542667786,0.04432499781250954,0.01351807260161704,3.353805139847073,1.0,1.0,True,200.0,True,2026-01-31T19:31:43,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
9,prmplane,real,5.875263214111328,13.990227937698364,8.960159301757812,1400,1400,0.4250786006450653,1.1113995671843782,0.030262934044003487,0.012292664001329934,2.614574258731931,1.0,1.0,True,200.0,True,2026-01-31T19:32:13,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
10,prmplane,real,5.65242600440979,14.620301485061646,9.620186567306519,1463,1463,0.4644324779510498,1.1155059318479772,0.04740006849169731,0.014158620223274387,2.4018689148728076,1.0,1.0,True,200.0,True,2026-01-31T19:32:44,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
11,prmplane,real,5.636148929595947,14.210211038589478,9.210150003433228,1422,1422,0.4410865604877472,0.9721842358713246,0.027154292911291122,0.012000183237480123,2.204066781804227,1.0,1.0,True,200.0,True,2026-01-31T19:33:14,0.05,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
