trajectory_id,algorithm,data_source,calculation_time_s,execution_time_s,at_threshold_time_s,trajectory_waypoints,simulation_steps,planned_distance_m,executed_distance_m,max_tracking_error_m,avg_tracking_error_m,efficiency_ratio,relative_pos_gain,relative_rot_gain,ik_velocity_mode,ik_velocity_error_gain,ik_use_rotational_velocity,timestamp,speed_mps,dt,update_frequency,grid_resolution,safety_margin,use_3d,final_target_tolerance,orientation_tolerance,ik_method,ik_command_type,ik_use_relative_mode,wall_size_x,wall_size_y,wall_size_z,wall_pos_x,wall_pos_y,wall_pos_z,wall_rot_w,wall_rot_x,wall_rot_y,wall_rot_z
1,rrt,real,0.5139291286468506,36.48025393486023,31.47015881538391,3649,3649,0.9434877634048462,2.2711135143523844,0.04802364483475685,0.014368184985351517,2.4071467616669664,1.0,1.0,True,200.0,True,2026-02-02T15:31:21,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
2,rrt,real,4.073374032974243,36.85021924972534,31.840166330337524,3686,3686,0.9408214688301086,2.15448979218052,0.03607742488384247,0.013935406302780062,2.290009171303863,1.0,1.0,True,200.0,True,2026-02-02T15:32:12,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
3,rrt,real,0.22156119346618652,32.78150224685669,27.37071704864502,3279,3279,0.8182711601257324,2.059354953656314,0.04063671827316284,0.014045505581089057,2.5167145733693967,1.0,1.0,True,200.0,True,2026-02-02T15:32:55,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
4,rrt,real,8.43429183959961,40.430214166641235,35.43012714385986,4044,4044,1.0626840591430664,2.251214525794752,0.03536534309387207,0.013504353907080432,2.1184231629578596,1.0,1.0,True,200.0,True,2026-02-02T15:33:54,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
5,rrt,real,0.21738290786743164,90.07022786140442,56.510159492492676,9008,9008,1.5676296949386597,5.26319617703642,0.12873294949531555,0.021196757361591788,3.3574231172256312,1.0,1.0,True,200.0,True,2026-02-02T15:35:35,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
6,rrt,real,0.5679676532745361,25.700210094451904,20.700148344039917,2571,2571,0.6124506592750549,1.3202992399135418,0.03685811907052994,0.013075156818723248,2.155764256138368,1.0,1.0,True,200.0,True,2026-02-02T15:36:12,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
7,rrt,real,0.055614471435546875,42.690216302871704,20.400145769119263,4270,4270,0.6115596890449524,2.1741521662017114,0.0378749780356884,0.01260966257461013,3.5550939755316366,1.0,1.0,True,200.0,True,2026-02-02T15:37:05,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
8,rrt,real,0.6544637680053711,32.51023459434509,27.510159492492676,3252,3252,0.8183014988899231,1.7293655413813926,0.03805197402834892,0.01320920582793909,2.1133598603050157,1.0,1.0,True,200.0,True,2026-02-02T15:37:48,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
9,rrt,real,0.5892596244812012,38.34023189544678,31.750160932540894,3835,3835,0.9287059307098389,2.12837406041125,0.038203537464141846,0.013468478480657511,2.2917631836209633,1.0,1.0,True,200.0,True,2026-02-02T15:38:37,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
10,rrt,real,3.5830702781677246,34.88023614883423,29.870159149169922,3489,3489,0.8706564903259277,1.7621725081434247,0.03936716914176941,0.01368232547227714,2.0239583897017304,1.0,1.0,True,200.0,True,2026-02-02T15:39:26,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
11,rrt,real,0.4337916374206543,53.030359745025635,29.04015874862671,5304,5304,0.8675182461738586,2.6861981358094216,0.03745255246758461,0.013011061355792851,3.096416873831473,1.0,1.0,True,200.0,True,2026-02-02T15:40:30,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
