trajectory_id,algorithm,data_source,calculation_time_s,execution_time_s,at_threshold_time_s,trajectory_waypoints,simulation_steps,planned_distance_m,executed_distance_m,max_tracking_error_m,avg_tracking_error_m,efficiency_ratio,relative_pos_gain,relative_rot_gain,ik_velocity_mode,ik_velocity_error_gain,ik_use_rotational_velocity,timestamp,speed_mps,dt,update_frequency,grid_resolution,safety_margin,use_3d,final_target_tolerance,orientation_tolerance,ik_method,ik_command_type,ik_use_relative_mode,wall_size_x,wall_size_y,wall_size_z,wall_pos_x,wall_pos_y,wall_pos_z,wall_rot_w,wall_rot_x,wall_rot_y,wall_rot_z
1,rrtplane,real,0.046517133712768555,41.600244760513306,21.29015803337097,4161,4161,0.5616433620452881,2.186296625832476,0.02752322517335415,0.011754492458948277,3.8926777623985953,1.0,1.0,True,200.0,True,2026-02-02T16:01:39,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
2,rrtplane,real,0.07330560684204102,22.030335903167725,16.840219736099243,2204,2204,0.5049636363983154,1.2142607693832685,0.03440075367689133,0.013611009550879214,2.4046499230005134,1.0,1.0,True,200.0,True,2026-02-02T16:02:12,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
3,rrtplane,real,0.09415650367736816,28.69019889831543,22.260159254074097,2870,2870,0.5142349600791931,1.8314027856924255,0.03164064884185791,0.013582789744915707,3.5614124434682273,1.0,1.0,True,200.0,True,2026-02-02T16:02:51,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
4,rrtplane,real,0.11054229736328125,26.43021512031555,21.430157899856567,2644,2644,0.6387864947319031,1.9597542685418503,0.04479089751839638,0.0159299425139168,3.067933158737731,1.0,1.0,True,200.0,True,2026-02-02T16:03:28,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
5,rrtplane,real,0.0853424072265625,39.96025490760803,22.310173749923706,3997,3997,0.6578754186630249,2.28208671527128,0.031070219352841377,0.012042775791809932,3.4688736659428283,1.0,1.0,True,200.0,True,2026-02-02T16:04:18,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
6,rrtplane,real,0.08905792236328125,26.490225791931152,21.4101505279541,2650,2650,0.6342203617095947,2.0045894207887898,0.05992084741592407,0.014438868828539578,3.160714385431034,1.0,1.0,True,200.0,True,2026-02-02T16:04:55,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
7,rrtplane,real,0.24982738494873047,27.980232000350952,21.62016010284424,2799,2799,0.6205416321754456,1.5318558711193582,0.0257001630961895,0.01235964141267699,2.468578724926319,1.0,1.0,True,200.0,True,2026-02-02T16:05:33,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
8,rrtplane,real,0.05185675621032715,46.69022560119629,22.390161991119385,4670,4670,0.610580325126648,4.898410268601477,0.07668985426425934,0.026238770576142077,8.022548495294927,1.0,1.0,True,200.0,True,2026-02-02T16:06:30,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
9,rrtplane,real,0.5455648899078369,71.66024208068848,63.530163288116455,7167,7167,1.8843978643417358,3.8911325851835947,0.4454472064971924,0.14906269245790035,2.0649209271646347,1.0,1.0,True,200.0,True,2026-02-02T16:07:53,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
10,rrtplane,real,0.05240678787231445,24.920222997665405,19.600148916244507,2493,2493,0.5673770308494568,1.4306992774360863,0.03615156561136246,0.012808891656864404,2.5216023907314224,1.0,1.0,True,200.0,True,2026-02-02T16:08:28,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
11,rrtplane,real,0.20540261268615723,30.300224781036377,25.29016137123108,3031,3031,0.751819372177124,1.741262170903294,0.029922304674983025,0.011042319653225132,2.316064516748131,1.0,1.0,True,200.0,True,2026-02-02T16:09:09,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
12,rrtplane,real,0.1535322666168213,23.540213584899902,18.53018283843994,2355,2355,0.5424603223800659,1.3180715541864458,0.03705862909555435,0.011748880019753523,2.4298026967269335,1.0,1.0,True,200.0,True,2026-02-02T16:09:43,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
