trajectory_id,algorithm,data_source,calculation_time_s,execution_time_s,at_threshold_time_s,trajectory_waypoints,simulation_steps,planned_distance_m,executed_distance_m,max_tracking_error_m,avg_tracking_error_m,efficiency_ratio,relative_pos_gain,relative_rot_gain,ik_velocity_mode,ik_velocity_error_gain,ik_use_rotational_velocity,timestamp,speed_mps,dt,update_frequency,grid_resolution,safety_margin,use_3d,final_target_tolerance,orientation_tolerance,ik_method,ik_command_type,ik_use_relative_mode,wall_size_x,wall_size_y,wall_size_z,wall_pos_x,wall_pos_y,wall_pos_z,wall_rot_w,wall_rot_x,wall_rot_y,wall_rot_z
1,rrtstar,real,6.651945114135742,25.780221700668335,20.42015790939331,2579,2579,0.6070755124092102,1.3648125901514474,0.026476822793483734,0.01077646270822972,2.248175988412247,1.0,1.0,True,200.0,True,2026-02-02T14:45:48,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
2,rrtstar,real,6.821131467819214,24.670242071151733,19.66016435623169,2468,2468,0.583611786365509,1.1717345666782784,0.043048061430454254,0.015037975444922955,2.0077294428465073,1.0,1.0,True,200.0,True,2026-02-02T14:46:29,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
3,rrtstar,real,8.389103651046753,36.62022590637207,31.62015986442566,3663,3663,0.7765635848045349,1.6636581576220983,0.04141147434711456,0.01490321554503028,2.1423334678265267,1.0,1.0,True,200.0,True,2026-02-02T14:47:25,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
4,rrtstar,real,9.26810622215271,24.730226755142212,19.730135917663574,2474,2474,0.5918407440185547,1.249154784548498,0.05458442121744156,0.01505033249001033,2.110626544679621,1.0,1.0,True,200.0,True,2026-02-02T14:48:09,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
5,rrtstar,real,5.895122289657593,22.67025923728943,17.670151948928833,2268,2268,0.5298276543617249,1.1349852097369748,0.04240049421787262,0.011892930241515186,2.1421781222504777,1.0,1.0,True,200.0,True,2026-02-02T14:48:48,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
6,rrtstar,real,6.4740777015686035,22.450225591659546,17.45015001296997,2246,2246,0.5225303173065186,1.1079529587036632,0.03557146340608597,0.012464708171350316,2.1203611006052556,1.0,1.0,True,200.0,True,2026-02-02T14:49:27,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
7,rrtstar,real,8.663692235946655,50.260210275650024,27.300160884857178,5027,5027,0.6135447025299072,1.8880430139627995,0.027325503528118134,0.012163489183980875,3.077270500711017,1.0,1.0,True,200.0,True,2026-02-02T14:50:36,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
8,rrtstar,real,6.338682174682617,22.710253953933716,17.660158157348633,2272,2272,0.5221470594406128,1.0442114809777436,0.0494188591837883,0.014961902190509751,1.9998417344271353,1.0,1.0,True,200.0,True,2026-02-02T14:51:15,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
9,rrtstar,real,27.318588256835938,30.99021601676941,25.980162143707275,3100,3100,0.7659282684326172,1.6992914292846297,0.05163444206118584,0.013026809720172276,2.2186038814862274,1.0,1.0,True,200.0,True,2026-02-02T14:52:24,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
10,rrtstar,real,6.561962127685547,31.060270071029663,26.060192584991455,3107,3107,0.7655845284461975,1.5907015576588073,0.045577920973300934,0.014264352948023867,2.077760846195831,1.0,1.0,True,200.0,True,2026-02-02T14:53:12,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
11,rrtstar,real,6.362283229827881,22.90025019645691,17.90015196800232,2291,2291,0.5369777083396912,0.9923614818590423,0.02951529063284397,0.011725377901516195,1.8480496796177546,1.0,1.0,True,200.0,True,2026-02-02T14:53:51,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
12,rrtstar,real,21.151090383529663,26.810214281082153,21.800159454345703,2682,2682,0.6257292628288269,1.2002272744623568,0.034306395798921585,0.012724720196898538,1.9181255308986376,1.0,1.0,True,200.0,True,2026-02-02T14:54:50,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
