trajectory_id,algorithm,data_source,calculation_time_s,execution_time_s,at_threshold_time_s,trajectory_waypoints,simulation_steps,planned_distance_m,executed_distance_m,max_tracking_error_m,avg_tracking_error_m,efficiency_ratio,relative_pos_gain,relative_rot_gain,ik_velocity_mode,ik_velocity_error_gain,ik_use_rotational_velocity,timestamp,speed_mps,dt,update_frequency,grid_resolution,safety_margin,use_3d,final_target_tolerance,orientation_tolerance,ik_method,ik_command_type,ik_use_relative_mode,wall_size_x,wall_size_y,wall_size_z,wall_pos_x,wall_pos_y,wall_pos_z,wall_rot_w,wall_rot_x,wall_rot_y,wall_rot_z
1,rrtstarplane,real,5.870396614074707,20.99021077156067,15.980148315429688,2100,2100,0.4718659520149231,1.2717256725182082,0.017323749139904976,0.009950985027743237,2.6950994601068166,1.0,1.0,True,200.0,True,2026-02-02T16:11:03,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
2,rrtstarplane,real,6.2211220264434814,20.010265350341797,14.850196838378906,2002,2002,0.43829381465911865,1.0058497729879043,0.03646690398454666,0.01257837535922772,2.2949212134563206,1.0,1.0,True,200.0,True,2026-02-02T16:11:39,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
3,rrtstarplane,real,6.3469953536987305,19.630309104919434,14.630187273025513,1964,1964,0.43522879481315613,1.1219748310147004,0.019220497459173203,0.009066548439442434,2.5778966014791473,1.0,1.0,True,200.0,True,2026-02-02T16:12:15,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
4,rrtstarplane,real,6.31601357460022,20.43021273612976,15.420169591903687,2044,2044,0.45675110816955566,0.9981801004502397,0.035653453320264816,0.011300376217678798,2.1853917431103294,1.0,1.0,True,200.0,True,2026-02-02T16:12:52,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
5,rrtstarplane,real,5.8782243728637695,44.33025622367859,16.280168533325195,4434,4434,0.4737604260444641,2.300010318885098,0.021187828853726387,0.010416089513829654,4.854796205939823,1.0,1.0,True,200.0,True,2026-02-02T16:13:53,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
6,rrtstarplane,real,6.084712743759155,19.84022307395935,14.830166816711426,1985,1985,0.4361777603626251,0.9929686308324142,0.03630692511796951,0.011876609760761186,2.2765228332753367,1.0,1.0,True,200.0,True,2026-02-02T16:14:29,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
7,rrtstarplane,real,5.923157691955566,19.37021231651306,14.370137691497803,1938,1938,0.42750129103660583,1.1039764191260577,0.018222380429506302,0.009216038196879151,2.5823931816653323,1.0,1.0,True,200.0,True,2026-02-02T16:15:05,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
8,rrtstarplane,real,6.049299716949463,20.400228261947632,15.390148162841797,2041,2041,0.45673230290412903,0.9723811038166863,0.02825985848903656,0.011741516393659996,2.1289956887958397,1.0,1.0,True,200.0,True,2026-02-02T16:15:41,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
9,rrtstarplane,real,5.671558618545532,20.040226459503174,15.040157079696655,2005,2005,0.4426172077655792,1.2388654674643673,0.01676666922867298,0.009446481568390444,2.7989545949160215,1.0,1.0,True,200.0,True,2026-02-02T16:16:17,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
10,rrtstarplane,real,6.56075119972229,22.690204620361328,14.330159187316895,2270,2270,0.42664414644241333,1.0448294101204603,0.035419389605522156,0.01156057636817663,2.4489481898036236,1.0,1.0,True,200.0,True,2026-02-02T16:16:57,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
11,rrtstarplane,real,5.692334413528442,23.300249576568604,15.390188455581665,2331,2331,0.45598483085632324,1.1787373196042417,0.01971277967095375,0.01016444806548907,2.585036255242559,1.0,1.0,True,200.0,True,2026-02-02T16:17:36,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
12,rrtstarplane,real,6.4989800453186035,20.660229206085205,15.650163650512695,2067,2067,0.46512335538864136,1.1270496703760093,0.03757399693131447,0.011960969318553083,2.4231199257545017,1.0,1.0,True,200.0,True,2026-02-02T16:18:13,0.03,0.02,100.0,0.02,0.06,True,0.01,0.0872665,dls,pose,True,0.03,0.5,0.6,0.55,0.0,-0.45,0.985,0.0,0.0,-0.174
